training_start,training_end,country,specification_id,p,d,q,P,D,Q,seasonal_period,burn_in,state_space_loglikelihood_burn,conservative_burn_in,n_effective,acf_threshold,residual_adequacy_rejected,residual_adequacy_reason,warnings,diagnostic,lag,value,threshold,flagged
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,43,-0.05743088431370079,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,44,-0.016618924692354962,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,45,-0.017059556194743003,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,46,0.04187001770592405,0.05,False
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,47,0.29461191250350977,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,48,0.6730423728160967,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_statistic,24,41280.03989795214,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_pvalue,24,0.0,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_statistic,48,75556.00015089766,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p1_d1_q0_P0_D0_Q0_s24,1,1,0,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],ljung_box_pvalue,48,0.0,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q1_P0_D0_Q0_s24,0,1,1,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,1,0.4219024201086434,0.05,True
2020-01-01,2023-12-31,Germany,sarima_p0_d1_q1_P0_D0_Q0_s24,0,1,1,0,0,0,24,48,1,48,35016,0.05,True,joint Ljung-Box and residual ACF rule,[],residual_acf,2,0.48878456416684923,0.05,True
